;SID;Lu_code;Area;lu_name;Kc;green_area;shade;albedo;CC;T_air
0;S1;1;0.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
1;S2;1;0.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
2;S3;1;0.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
3;S4;1;0.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
4;S5;1;259.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
5;S6;1;118.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
6;S7;1;261.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
7;S8;1;375.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
8;S9;1;395.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
9;S10;1;376.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
10;S11;1;371.0;IMP;0.001;0;0;0.14;0.028200000000000003;25.70065
11;S1;2;0.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
12;S2;2;0.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
13;S3;2;0.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
14;S4;2;0.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
15;S5;2;62.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
16;S6;2;770.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
17;S7;2;17.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
18;S8;2;14.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
19;S9;2;16.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
20;S10;2;68.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
21;S11;2;9.0;SVEG;0.8;1;0;0.16;0.19200000000000003;25.414
22;S1;3;0.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
23;S2;3;0.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
24;S3;3;0.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
25;S4;3;0.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
26;S5;3;19.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
27;S6;3;227.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
28;S7;3;0.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
29;S8;3;20.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
30;S9;3;11.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
31;S10;3;0.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
32;S11;3;12.0;DVEG;1.0;1;1;0.2;0.8400000000000001;24.28
33;S1;4;938.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
34;S2;4;494.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
35;S3;4;505.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
36;S4;4;921.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
37;S5;4;0.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
38;S6;4;0.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
39;S7;4;0.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
40;S8;4;0.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
41;S9;4;0.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
42;S10;4;0.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
43;S11;4;0.0;BLDG;0.001;0;0;0.25;0.0502;25.66215
