;S1;S10;S11;S2;S3;S4;S5;S6;S7;S8;S9;Mean
Sim0;25.66;25.66;25.65;25.66;25.66;25.66;25.54;25.21;25.68;25.62;25.65;25.6
Sim1;25.66;25.65;25.63;25.66;25.66;25.48;25.54;25.21;25.61;25.59;25.63;25.57
Sim2;25.48;25.65;25.65;25.66;25.66;25.48;25.56;25.21;25.68;25.59;25.64;25.57
Sim3;25.48;25.63;25.63;25.48;25.66;25.66;25.54;25.21;25.68;25.62;25.63;25.57
Sim4;25.52;25.56;25.62;25.66;25.66;25.66;25.54;25.21;25.67;25.6;25.64;25.58
Sim5;25.66;25.66;25.65;25.66;25.52;25.66;25.57;25.21;25.68;25.59;25.63;25.59
Sim6;25.52;25.53;25.63;25.52;25.66;25.66;25.56;25.21;25.68;25.6;25.65;25.57
Sim7;25.52;25.65;25.65;25.66;25.52;25.66;25.56;25.21;25.66;25.61;25.56;25.57
Sim8;25.52;25.63;25.63;25.66;25.52;25.66;25.56;25.21;25.66;25.61;25.64;25.57
Sim9;25.52;25.66;25.62;25.66;25.66;25.52;25.51;25.21;25.67;25.61;25.63;25.57
Sim10;25.52;25.59;25.64;25.66;25.66;25.66;25.54;25.21;25.65;25.6;25.63;25.58
Sim11;25.66;25.65;25.64;25.66;25.48;25.66;25.54;25.21;25.66;25.5;25.64;25.57
Sim12;25.66;25.65;25.64;25.66;25.66;25.52;25.57;25.21;25.65;25.61;25.64;25.59
Sim13;25.48;25.63;25.63;25.66;25.66;25.48;25.45;25.21;25.65;25.6;25.61;25.55
Sim14;25.48;25.63;25.63;25.66;25.48;25.66;25.55;25.21;25.68;25.59;25.64;25.56
Sim15;25.48;25.65;25.65;25.66;25.66;25.48;25.54;25.21;25.68;25.55;25.65;25.56
Sim16;25.48;25.64;25.64;25.48;25.66;25.66;25.57;25.21;25.67;25.59;25.54;25.56
Sim17;25.48;25.65;25.64;25.48;25.66;25.48;25.54;25.21;25.66;25.62;25.58;25.55
Sim18;25.48;25.56;25.65;25.48;25.48;25.48;25.54;25.21;25.67;25.6;25.63;25.53
Sim19;25.52;25.53;25.64;25.66;25.52;25.52;25.55;25.21;25.66;25.6;25.63;25.55
Sim20;25.66;25.65;25.64;25.66;25.66;25.48;25.57;25.21;25.61;25.59;25.62;25.58
Sim21;25.66;25.64;25.58;25.66;25.66;25.48;25.55;25.21;25.67;25.59;25.65;25.58
Sim22;25.66;25.56;25.63;25.48;25.48;25.48;25.45;25.21;25.65;25.62;25.62;25.53
Sim23;25.66;25.56;25.63;25.48;25.66;25.66;25.53;25.21;25.65;25.58;25.62;25.57
Sim24;25.66;25.64;25.63;25.66;25.52;25.52;25.57;25.21;25.67;25.53;25.63;25.57
Sim25;25.52;25.63;25.65;25.52;25.66;25.52;25.56;25.21;25.65;25.5;25.65;25.55
Sim26;25.66;25.66;25.63;25.66;25.48;25.66;25.55;25.21;25.68;25.6;25.63;25.58
Sim27;25.48;25.65;25.62;25.66;25.48;25.66;25.56;25.21;25.65;25.61;25.64;25.57
Sim28;25.66;25.63;25.63;25.66;25.48;25.48;25.57;25.21;25.68;25.6;25.62;25.57
Sim29;25.66;25.65;25.64;25.48;25.66;25.66;25.57;25.21;25.68;25.62;25.56;25.58
Sim30;25.66;25.63;25.63;25.48;25.48;25.66;25.56;25.21;25.68;25.61;25.61;25.56
Sim31;25.66;25.56;25.63;25.48;25.48;25.66;25.48;25.21;25.58;25.59;25.62;25.54
Sim32;25.66;25.66;25.64;25.52;25.66;25.66;25.56;25.21;25.66;25.5;25.64;25.58
Sim33;25.48;25.64;25.64;25.66;25.48;25.66;25.53;25.21;25.65;25.59;25.65;25.56
Sim34;25.66;25.64;25.62;25.66;25.66;25.66;25.56;25.21;25.66;25.62;25.65;25.6
Sim35;25.66;25.63;25.63;25.66;25.66;25.52;25.54;25.21;25.65;25.62;25.62;25.58
Sim36;25.66;25.64;25.65;25.66;25.66;25.48;25.55;25.21;25.66;25.62;25.64;25.58
Sim37;25.66;25.63;25.63;25.48;25.48;25.48;25.54;25.21;25.68;25.62;25.64;25.55
Sim38;25.66;25.65;25.63;25.52;25.66;25.52;25.55;25.21;25.65;25.62;25.64;25.57
Sim39;25.66;25.65;25.65;25.52;25.52;25.52;25.54;25.21;25.68;25.53;25.63;25.56
Sim40;25.48;25.56;25.63;25.48;25.48;25.48;25.55;25.21;25.67;25.58;25.64;25.52
Sim41;25.48;25.63;25.64;25.48;25.66;25.66;25.45;25.21;25.66;25.55;25.63;25.55
Sim42;25.66;25.63;25.64;25.52;25.66;25.66;25.54;25.21;25.68;25.59;25.62;25.58
Sim43;25.66;25.66;25.65;25.52;25.66;25.66;25.54;25.21;25.67;25.59;25.62;25.59
Sim44;25.66;25.65;25.64;25.66;25.48;25.66;25.54;25.21;25.65;25.59;25.63;25.58
Sim45;25.48;25.64;25.63;25.48;25.48;25.66;25.54;25.21;25.65;25.61;25.65;25.55
Sim46;25.66;25.63;25.62;25.52;25.66;25.52;25.55;25.21;25.68;25.53;25.63;25.56
Sim47;25.52;25.63;25.64;25.52;25.66;25.52;25.57;25.21;25.65;25.61;25.62;25.56
Sim48;25.66;25.64;25.65;25.66;25.66;25.66;25.56;25.21;25.67;25.6;25.65;25.6
Sim49;25.66;25.66;25.63;25.48;25.66;25.66;25.54;25.21;25.68;25.6;25.62;25.58
Sim50;25.48;25.65;25.65;25.66;25.66;25.48;25.51;25.21;25.68;25.6;25.58;25.56
Sim51;25.48;25.63;25.62;25.48;25.48;25.48;25.55;25.21;25.65;25.59;25.63;25.53
Sim52;25.52;25.66;25.64;25.66;25.52;25.66;25.54;25.21;25.65;25.5;25.64;25.56
Sim53;25.48;25.63;25.54;25.48;25.48;25.66;25.55;25.21;25.65;25.6;25.64;25.54
Sim54;25.48;25.63;25.63;25.66;25.48;25.48;25.54;25.21;25.65;25.62;25.65;25.55
Sim55;25.66;25.59;25.54;25.66;25.52;25.52;25.57;25.21;25.65;25.6;25.61;25.56
Sim56;25.66;25.63;25.63;25.66;25.66;25.66;25.55;25.21;25.67;25.59;25.65;25.6
Sim57;25.66;25.63;25.63;25.52;25.66;25.66;25.45;25.21;25.65;25.62;25.64;25.58
Sim58;25.48;25.64;25.63;25.48;25.48;25.48;25.56;25.21;25.68;25.61;25.64;25.54
Sim59;25.48;25.63;25.65;25.66;25.48;25.48;25.54;25.21;25.65;25.59;25.58;25.54
Sim60;25.66;25.64;25.64;25.52;25.52;25.66;25.56;25.21;25.67;25.62;25.61;25.57
Sim61;25.52;25.63;25.63;25.52;25.66;25.52;25.54;25.21;25.67;25.62;25.65;25.56
Sim62;25.66;25.56;25.58;25.52;25.52;25.66;25.55;25.21;25.65;25.6;25.63;25.56
Sim63;25.66;25.64;25.64;25.48;25.48;25.48;25.45;25.21;25.58;25.61;25.64;25.53
Sim64;25.66;25.64;25.63;25.66;25.66;25.66;25.51;25.21;25.67;25.61;25.54;25.59
Sim65;25.48;25.62;25.65;25.66;25.48;25.66;25.53;25.21;25.67;25.59;25.63;25.56
Sim66;25.66;25.63;25.63;25.66;25.52;25.52;25.54;25.21;25.66;25.5;25.64;25.56
Sim67;25.52;25.63;25.65;25.52;25.66;25.66;25.51;25.21;25.65;25.59;25.62;25.57
Sim68;25.66;25.63;25.64;25.52;25.52;25.52;25.56;25.21;25.66;25.61;25.63;25.56
Sim69;25.66;25.65;25.63;25.66;25.66;25.48;25.56;25.21;25.65;25.6;25.62;25.58
Sim70;25.66;25.63;25.65;25.66;25.48;25.66;25.54;25.21;25.67;25.61;25.64;25.58
Sim71;25.66;25.64;25.65;25.52;25.66;25.52;25.55;25.21;25.65;25.6;25.64;25.57
Sim72;25.66;25.63;25.58;25.66;25.52;25.52;25.54;25.21;25.68;25.59;25.65;25.57
Sim73;25.48;25.63;25.63;25.66;25.48;25.48;25.54;25.21;25.66;25.57;25.65;25.54
Sim74;25.48;25.65;25.64;25.48;25.66;25.48;25.54;25.21;25.58;25.6;25.64;25.54
Sim75;25.66;25.64;25.63;25.52;25.52;25.66;25.56;25.21;25.67;25.61;25.65;25.58
Sim76;25.48;25.64;25.64;25.48;25.66;25.66;25.54;25.21;25.66;25.6;25.64;25.56
Sim77;25.66;25.64;25.65;25.66;25.66;25.52;25.57;25.21;25.66;25.58;25.64;25.59
Sim78;25.52;25.63;25.62;25.66;25.66;25.52;25.56;25.21;25.67;25.6;25.64;25.57
Sim79;25.66;25.65;25.63;25.48;25.66;25.48;25.51;25.21;25.68;25.57;25.63;25.56
Sim80;25.66;25.63;25.65;25.66;25.48;25.48;25.56;25.21;25.65;25.59;25.64;25.56
Sim81;25.48;25.63;25.65;25.48;25.66;25.48;25.53;25.21;25.65;25.62;25.63;25.55
Sim82;25.52;25.65;25.65;25.66;25.66;25.66;25.54;25.21;25.68;25.55;25.62;25.58
Sim83;25.52;25.64;25.63;25.66;25.66;25.52;25.54;25.21;25.66;25.59;25.65;25.57
Sim84;25.66;25.66;25.64;25.52;25.66;25.66;25.54;25.21;25.68;25.59;25.65;25.59
Sim85;25.66;25.65;25.65;25.52;25.52;25.66;25.55;25.21;25.68;25.6;25.64;25.58
Sim86;25.48;25.63;25.54;25.48;25.66;25.66;25.55;25.21;25.67;25.59;25.62;25.55
Sim87;25.66;25.63;25.64;25.66;25.66;25.52;25.55;25.21;25.65;25.6;25.64;25.58
Sim88;25.52;25.63;25.65;25.66;25.66;25.52;25.54;25.21;25.67;25.62;25.61;25.57
Sim89;25.66;25.65;25.58;25.48;25.66;25.66;25.54;25.21;25.66;25.6;25.64;25.58
Sim90;25.48;25.65;25.65;25.48;25.66;25.48;25.51;25.21;25.68;25.62;25.61;25.55
Sim91;25.52;25.64;25.65;25.66;25.66;25.52;25.57;25.21;25.68;25.6;25.62;25.58
Sim92;25.66;25.65;25.65;25.66;25.66;25.66;25.54;25.21;25.66;25.61;25.65;25.6
Sim93;25.52;25.63;25.65;25.66;25.66;25.66;25.56;25.21;25.68;25.6;25.64;25.59
Sim94;25.66;25.65;25.65;25.48;25.48;25.48;25.55;25.21;25.65;25.62;25.63;25.55
Sim95;25.66;25.62;25.62;25.66;25.66;25.52;25.55;25.21;25.68;25.6;25.62;25.58
Sim96;25.48;25.63;25.64;25.48;25.48;25.66;25.48;25.21;25.68;25.62;25.62;25.54
Sim97;25.66;25.56;25.65;25.52;25.66;25.66;25.57;25.21;25.65;25.61;25.62;25.58
Sim98;25.66;25.59;25.63;25.66;25.52;25.66;25.56;25.21;25.68;25.62;25.62;25.58
Sim99;25.66;25.65;25.58;25.48;25.66;25.48;25.56;25.21;25.65;25.55;25.65;25.56
Sim100;25.52;25.65;25.64;25.66;25.66;25.66;25.55;25.21;25.67;25.61;25.63;25.59
Sim101;25.66;25.53;25.64;25.66;25.48;25.66;25.54;25.21;25.68;25.62;25.62;25.57
Sim102;25.66;25.64;25.58;25.66;25.52;25.52;25.54;25.21;25.68;25.61;25.64;25.57
Sim103;25.66;25.64;25.65;25.48;25.48;25.48;25.54;25.21;25.68;25.59;25.58;25.54
Sim104;25.66;25.66;25.64;25.66;25.66;25.66;25.54;25.21;25.66;25.61;25.64;25.6
Sim105;25.66;25.65;25.63;25.66;25.66;25.66;25.54;25.21;25.66;25.6;25.63;25.6
Sim106;25.66;25.64;25.65;25.66;25.48;25.48;25.53;25.21;25.61;25.6;25.64;25.56
Sim107;25.66;25.64;25.58;25.66;25.52;25.66;25.55;25.21;25.68;25.57;25.64;25.58
Sim108;25.48;25.64;25.64;25.48;25.66;25.48;25.54;25.21;25.68;25.57;25.64;25.55
Sim109;25.52;25.63;25.62;25.66;25.52;25.52;25.56;25.21;25.65;25.59;25.61;25.55
Sim110;25.66;25.56;25.65;25.66;25.48;25.48;25.51;25.21;25.66;25.6;25.65;25.56
Sim111;25.52;25.63;25.65;25.52;25.66;25.66;25.48;25.21;25.68;25.57;25.62;25.56
Sim112;25.48;25.65;25.64;25.66;25.66;25.48;25.54;25.21;25.68;25.59;25.65;25.57
Sim113;25.52;25.65;25.62;25.52;25.66;25.52;25.55;25.21;25.65;25.6;25.61;25.56
Sim114;25.48;25.59;25.63;25.66;25.48;25.48;25.56;25.21;25.65;25.62;25.62;25.54
Sim115;25.66;25.64;25.64;25.52;25.52;25.66;25.57;25.21;25.68;25.55;25.62;25.57
Sim116;25.66;25.64;25.63;25.66;25.66;25.52;25.57;25.21;25.68;25.61;25.54;25.58
Sim117;25.66;25.64;25.63;25.66;25.52;25.66;25.56;25.21;25.65;25.61;25.64;25.59
Sim118;25.52;25.65;25.62;25.52;25.52;25.66;25.56;25.21;25.67;25.53;25.63;25.55
Sim119;25.66;25.65;25.65;25.48;25.48;25.66;25.55;25.21;25.67;25.59;25.64;25.57
Sim120;25.66;25.65;25.65;25.48;25.66;25.48;25.56;25.21;25.66;25.6;25.64;25.57
Sim121;25.66;25.63;25.65;25.66;25.48;25.66;25.54;25.21;25.67;25.6;25.64;25.58
Sim122;25.66;25.65;25.65;25.66;25.48;25.66;25.54;25.21;25.65;25.6;25.64;25.58
Sim123;25.66;25.66;25.62;25.66;25.48;25.66;25.54;25.21;25.66;25.59;25.56;25.57
Sim124;25.66;25.65;25.65;25.48;25.48;25.66;25.56;25.21;25.68;25.6;25.62;25.57
Sim125;25.52;25.66;25.63;25.66;25.52;25.52;25.45;25.21;25.67;25.6;25.54;25.54
Sim126;25.66;25.65;25.63;25.66;25.66;25.48;25.51;25.21;25.66;25.6;25.64;25.58
Sim127;25.66;25.63;25.64;25.66;25.52;25.52;25.51;25.21;25.66;25.55;25.54;25.55
Sim128;25.66;25.63;25.65;25.48;25.66;25.48;25.54;25.21;25.65;25.61;25.65;25.57
Sim129;25.48;25.63;25.62;25.48;25.48;25.66;25.48;25.21;25.66;25.57;25.61;25.53
Sim130;25.66;25.65;25.62;25.66;25.48;25.66;25.54;25.21;25.65;25.5;25.62;25.57
Sim131;25.66;25.64;25.63;25.52;25.66;25.66;25.54;25.21;25.58;25.61;25.63;25.58
Sim132;25.66;25.64;25.65;25.52;25.66;25.52;25.55;25.21;25.66;25.5;25.62;25.56
Sim133;25.66;25.63;25.63;25.48;25.48;25.66;25.56;25.21;25.66;25.55;25.61;25.56
Sim134;25.66;25.64;25.64;25.66;25.66;25.66;25.57;25.21;25.61;25.59;25.63;25.59
Sim135;25.52;25.65;25.64;25.66;25.52;25.52;25.56;25.21;25.68;25.6;25.58;25.56
Sim136;25.66;25.66;25.65;25.66;25.52;25.52;25.55;25.21;25.66;25.57;25.64;25.57
Sim137;25.52;25.56;25.64;25.66;25.52;25.52;25.56;25.21;25.65;25.62;25.64;25.55
Sim138;25.48;25.64;25.64;25.66;25.48;25.66;25.45;25.21;25.68;25.6;25.64;25.56
Sim139;25.66;25.65;25.58;25.66;25.66;25.66;25.57;25.21;25.66;25.61;25.62;25.59
Sim140;25.48;25.63;25.64;25.66;25.48;25.66;25.54;25.21;25.61;25.61;25.64;25.56
Sim141;25.52;25.64;25.63;25.66;25.66;25.52;25.54;25.21;25.66;25.62;25.56;25.57
Sim142;25.48;25.65;25.54;25.66;25.48;25.66;25.51;25.21;25.68;25.61;25.54;25.55
Sim143;25.66;25.64;25.63;25.66;25.66;25.66;25.56;25.21;25.65;25.58;25.54;25.59
Sim144;25.48;25.63;25.63;25.66;25.66;25.48;25.54;25.21;25.68;25.59;25.65;25.56
Sim145;25.48;25.65;25.63;25.66;25.48;25.66;25.55;25.21;25.67;25.59;25.61;25.56
Sim146;25.66;25.59;25.63;25.48;25.66;25.66;25.53;25.21;25.66;25.59;25.65;25.57
Sim147;25.66;25.63;25.63;25.66;25.48;25.48;25.57;25.21;25.67;25.59;25.62;25.56
Sim148;25.66;25.53;25.64;25.66;25.48;25.48;25.53;25.21;25.65;25.61;25.63;25.55
Sim149;25.52;25.64;25.58;25.52;25.66;25.66;25.55;25.21;25.67;25.57;25.64;25.57
